,seed_keyword,suggested_queries,suggestion_relevance,suggestion_subtypes,suggestion_type
0,car freshie,car freshies,1251,"[512, 433, 131]",QUERY
1,car freshie,car freshies near me,1250,[512],QUERY
2,car freshie,car freshies diy,700,[512],QUERY
3,car freshie,car freshie supplies,601,[512],QUERY
4,car freshie,car freshie beads,600,[512],QUERY
5,car freshie,car freshie molds,559,[512],QUERY
6,car freshie,car freshie cardstock designs,558,[512],QUERY
7,car freshie,car freshie starter kit,557,[512],QUERY
8,car freshie,car freshie business name ideas,556,[512],QUERY
9,car freshie,car freshie aroma beads,555,[512],QUERY
10,car freshie,car freshies for sale,554,[512],QUERY
11,car freshie,car freshie oils,553,[512],QUERY
12,car freshie,car freshie scent oil,552,[512],QUERY
13,car freshie,car freshie ideas,551,[512],QUERY
14,car freshie,car freshie business names,550,[512],QUERY
